track_uri,artist_name,track_name,track_title,line,lyric
28cnXtME493VX9NOw9cIUh,Johnny Cash,Hurt,Hurt,1,NA
28cnXtME493VX9NOw9cIUh,Johnny Cash,Hurt,Hurt,2,I hurt myself today
28cnXtME493VX9NOw9cIUh,Johnny Cash,Hurt,Hurt,3,To see if I still feel
28cnXtME493VX9NOw9cIUh,Johnny Cash,Hurt,Hurt,4,I focus on the pain
28cnXtME493VX9NOw9cIUh,Johnny Cash,Hurt,Hurt,5,The only thing that's real
28cnXtME493VX9NOw9cIUh,Johnny Cash,Hurt,Hurt,6,The needle tears a hole
28cnXtME493VX9NOw9cIUh,Johnny Cash,Hurt,Hurt,7,The old familiar sting
28cnXtME493VX9NOw9cIUh,Johnny Cash,Hurt,Hurt,8,Try to kill it all away
28cnXtME493VX9NOw9cIUh,Johnny Cash,Hurt,Hurt,9,But I remember everything
28cnXtME493VX9NOw9cIUh,Johnny Cash,Hurt,Hurt,10,What have I become
28cnXtME493VX9NOw9cIUh,Johnny Cash,Hurt,Hurt,11,My sweetest friend?
28cnXtME493VX9NOw9cIUh,Johnny Cash,Hurt,Hurt,12,Everyone I know
28cnXtME493VX9NOw9cIUh,Johnny Cash,Hurt,Hurt,13,Goes away in the end
28cnXtME493VX9NOw9cIUh,Johnny Cash,Hurt,Hurt,14,And you could have it all
28cnXtME493VX9NOw9cIUh,Johnny Cash,Hurt,Hurt,15,My empire of dirt
28cnXtME493VX9NOw9cIUh,Johnny Cash,Hurt,Hurt,16,I will let you down
28cnXtME493VX9NOw9cIUh,Johnny Cash,Hurt,Hurt,17,I will make you hurt
28cnXtME493VX9NOw9cIUh,Johnny Cash,Hurt,Hurt,18,I wear this crown of thorns
28cnXtME493VX9NOw9cIUh,Johnny Cash,Hurt,Hurt,19,Upon my liar's chair
28cnXtME493VX9NOw9cIUh,Johnny Cash,Hurt,Hurt,20,Full of broken thoughts
28cnXtME493VX9NOw9cIUh,Johnny Cash,Hurt,Hurt,21,I cannot repair
28cnXtME493VX9NOw9cIUh,Johnny Cash,Hurt,Hurt,22,Beneath the stains of time
28cnXtME493VX9NOw9cIUh,Johnny Cash,Hurt,Hurt,23,The feelings disappear
28cnXtME493VX9NOw9cIUh,Johnny Cash,Hurt,Hurt,24,You are someone else
28cnXtME493VX9NOw9cIUh,Johnny Cash,Hurt,Hurt,25,I am still right here
28cnXtME493VX9NOw9cIUh,Johnny Cash,Hurt,Hurt,26,What have I become
28cnXtME493VX9NOw9cIUh,Johnny Cash,Hurt,Hurt,27,My sweetest friend?
28cnXtME493VX9NOw9cIUh,Johnny Cash,Hurt,Hurt,28,Everyone I know
28cnXtME493VX9NOw9cIUh,Johnny Cash,Hurt,Hurt,29,Goes away in the end
