danceability,energy,instrumentalness,valence,tempo,duration_ms,sadproportion,wordcount
0.518,0.401,1.85e-4,0.171,92.148,216533,0.16216216216216217,592
0.621,0.306,6.71e-5,0.0853,111.926,240707,0.02,50
0.583,0.532,0,0.223,131.741,288427,0.10837438423645321,203
0.728,0.563,0,0.352,100.017,217707,NA,NA
0.624,0.572,0,0.57,90.067,235493,0.38095238095238093,147
0.315,0.456,9.76e-6,0.424,145.362,188307,0.13043478260869565,46
0.583,0.313,0,0.346,96.717,241747,0,45
0.518,0.401,1.85e-4,0.171,92.148,216533,0.16216216216216217,592
0.329,0.179,5.04e-6,0.255,154.175,217387,NA,NA
0.45,0.335,1.25e-6,0.25,109.908,281235,NA,NA
0.555,0.717,0,0.374,112.03,208507,0.1111111111111111,36
0.53,0.27,1.35e-6,0.599,101.114,225960,NA,NA
0.47,0.431,0,0.289,157.98,295502,0.02040816326530612,882
0.332,0.179,0,0.315,96.529,125667,NA,NA
0.599,0.531,2.32e-5,0.53,124.513,228933,NA,NA
0.209,0.418,0.00195,0.123,138.265,295533,0.06521739130434782,414
0.497,0.661,3.17e-4,0.894,180.225,240213,0.036585365853658534,82
0.265,0.127,0.391,0.0757,147.734,371320,0.05555555555555555,1350
0.689,0.481,1.03e-6,0.283,80.025,229526,NA,NA
0.59,0.5,0,0.324,130.675,222773,0.06504065040650407,123
0.746,0.576,0,0.337,110.2,349785,0.13074204946996468,283
0.763,0.743,3.65e-4,0.939,107.397,295533,0.029585798816568046,169
0.496,0.863,0,0.243,110.018,185587,0.13793103448275862,58
0.592,0.637,0,0.565,159.701,185093,0.07246376811594203,276
0.516,0.231,0.0489,0.0587,84.07,365493,NA,NA
0.689,0.481,1.03e-6,0.283,80.025,229526,NA,NA
0.512,0.559,0,0.193,85.017,226330,NA,NA
0.656,0.578,0,0.556,94.514,256733,0.04838709677419355,124
0.418,0.249,0.661,0.213,82.803,218547,0,40
0.689,0.481,1.03e-6,0.283,80.025,229526,NA,NA
0.589,0.242,0,0.257,89.749,221107,0.06666666666666667,3240
0.64,0.533,0,0.515,99.968,220781,NA,NA
0.646,0.342,0.00685,0.347,103.979,222120,0.034482758620689655,87
0.543,0.432,0.369,0.107,110.196,295516,NA,NA
0.329,0.278,1.45e-4,0.272,111.316,120093,0.045454545454545456,22
0.38,0.573,2.38e-6,0.0901,74.988,303133,0.21428571428571427,896
0.513,0.768,1.94e-5,0.235,84.264,210580,0.017543859649122806,57
0.553,0.586,0,0.443,126.684,196373,0.07368421052631578,380
0.82,0.582,0,0.309,112.064,214027,0.1037037037037037,135
0.579,0.419,0,0.673,104.564,165000,0.027777777777777776,72
0.38,0.553,2.63e-6,0.384,179.629,189333,0.039473684210526314,76
0.589,0.242,0,0.257,89.749,221107,0.06666666666666667,3240
0.197,0.546,0.071,0.267,82.716,212627,0.07692307692307693,13
0.487,0.311,4.66e-4,0.252,139.878,261267,0.06306306306306306,111
0.74,0.613,0.0037200000000000002,0.473,75.023,166606,0.15476190476190477,756
0.345,0.0581,3.66e-4,0.304,174.117,189507,NA,NA
0.409,0.404,0,0.288,80.356,259693,NA,NA
0.302,0.151,0.893,0.039,131.443,275280,0.04225352112676056,71
0.299,0.168,0.0106,0.101,138.573,261200,0.09803921568627451,51
0.819,0.697,3.39e-4,0.787,119.005,214347,0.22826086956521738,92
0.448,0.0954,0.517,0.0384,110.625,530027,0.08888888888888889,45
0.403,0.654,4.08e-5,0.197,74.617,354547,0.03571428571428571,224
0.606,0.328,0.00131,0.105,119.932,180933,0.036585365853658534,82
0.529,0.96,0.927,0.69,98.717,175461,0.10416666666666667,96
0.589,0.242,0,0.257,89.749,221107,0.06666666666666667,3240
0.64,0.743,0,0.361,122.035,262533,0.14,1600
0.593,0.75,3.32e-5,0.45,118.005,208107,0.49056603773584906,212
0.552,0.668,0.382,0.153,114.991,265334,0.2,95
0.653,0.488,0,0.492,151.594,231445,0,163
0.624,0.257,7.56e-5,0.681,85.617,183667,0.011363636363636364,88
0.373,0.609,4.27e-4,0.354,179.955,270680,0.058823529411764705,68
0.733,0.673,7.96e-6,0.487,128.009,214699,0,55
0.694,0.311,0.35,0.616,102.142,240773,0.045454545454545456,88
0.599,0.531,2.32e-5,0.53,124.513,228933,NA,NA
0.162,0.293,0.00221,0.0406,77.962,220147,NA,NA
0.265,0.127,0.391,0.0757,147.734,371320,0.05555555555555555,1350
0.375,0.304,0.303,0.147,147.989,336613,0.0136986301369863,73
0.72,0.763,0,0.742,101.965,251088,NA,NA
0.211,0.55,0.165,0.248,141.871,371040,0.07142857142857142,14
0.689,0.481,1.03e-6,0.283,80.025,229526,NA,NA
0.544,0.298,0.116,0.235,76.962,194413,0.06936416184971098,173
0.649,0.552,6.47e-6,0.158,89.969,253813,0.06818181818181818,44
0.346,0.35,1.98e-6,0.315,126.444,229053,0.14925373134328357,67
0.358,0.856,0,0.542,169.81,210787,0.1276595744680851,47
0.575,0.33,0,0.277,95.801,217213,NA,NA
0.647,0.804,0,0.516,121.799,173600,NA,NA
0.74,0.613,0.0037200000000000002,0.473,75.023,166606,0.15476190476190477,756
0.563,0.592,5.08e-5,0.136,104.016,267933,0.09302325581395349,172
0.663,0.292,0.00499,0.359,112.318,287507,0.0851063829787234,94
0.597,0.846,0,0.445,124.041,203693,0.07608695652173914,92
0.776,0.503,0,0.473,110.134,210285,0.03076923076923077,195
0.56,0.442,1.71e-5,0.212,146.448,309600,0.0625,432
0.428,0.276,5.33e-6,0.0382,99.195,280000,NA,NA
0.522,0.385,0,0.236,89.792,207520,0.078125,64
0.527,0.835,0,0.654,125.983,176658,0.046875,128
0.457,0.308,1.5e-6,0.272,103.111,178266,NA,NA
0.587,0.767,0,0.664,100.38,201707,0.08029197080291971,137
0.546,0.814,0,0.146,104.98,285653,0.10526315789473684,57
0.265,0.127,0.391,0.0757,147.734,371320,0.05555555555555555,1350
0.319,0.651,4.73e-5,0.474,118.501,272200,NA,NA
0.351,0.296,0,0.12,115.284,200186,NA,NA
0.56,0.442,1.71e-5,0.212,146.448,309600,0.0625,432
0.31,0.74,9.73e-6,0.0874,81.948,230243,0.019230769230769232,52
0.444,0.0924,0,0.219,108.917,248808,0.03260869565217391,92
0.673,0.686,1.84e-4,0.662,126.09,211573,0.06,50
0.383,0.659,0,0.327,140.795,353027,0.07446808510638298,94
0.497,0.734,0,0.384,139.096,196480,0.0861244019138756,209
0.486,0.45,2.06e-6,0.55,100.456,254293,NA,NA
0.739,0.341,1.1e-6,0.231,80.958,266000,NA,NA
0.598,0.343,0.0219,0.419,103.984,202107,0.043478260869565216,184
0.552,0.173,4.01e-4,0.0854,76.97,212040,0.08,50
0.591,0.934,1.81e-6,0.452,155.968,283733,0.0625,224
0.581,0.163,0,0.475,77.748,189400,0.1518987341772152,79
0.474,0.707,0,0.224,83.235,252107,0.04477611940298507,268
0.35,0.113,2.68e-5,0.151,128.271,218907,0.041666666666666664,48
0.581,0.732,0.00254,0.36,89.994,183333,0.07246376811594203,138
0.681,0.83,0.00376,0.817,103.777,250133,0.04477611940298507,67
0.584,0.611,1.52e-6,0.188,79.572,241560,0.023809523809523808,84
0.422,0.264,0,0.331,119.93,269560,0.11688311688311688,308
0.584,0.536,0,0.44,126.996,243227,0,139
0.849,0.731,8.87e-5,0.751,97.922,313520,NA,NA
0.47,0.431,0,0.289,157.98,295502,0.02040816326530612,882
0.612,0.568,0,0.23,116.247,346164,NA,NA
0.345,0.27,0.112,0.173,79.649,277260,0.07857142857142857,140
0.689,0.4,1.37e-4,0.559,112.64,255040,NA,NA
0.513,0.479,0.706,0.282,128.041,288750,0.24242424242424243,33
0.575,0.461,1.75e-5,0.266,79.971,222868,NA,NA
0.236,0.207,8.15e-6,0.0757,147.518,217224,0,66
0.509,0.629,1.99e-6,0.237,80.012,209307,0.22535211267605634,71
0.409,0.137,0,0.106,162.08,225076,0.25,1200
0.56,0.442,1.71e-5,0.212,146.448,309600,0.0625,432
0.45,0.335,1.25e-6,0.25,109.908,281235,NA,NA
0.209,0.418,0.00195,0.123,138.265,295533,0.06521739130434782,414
0.327,0.938,3.79e-6,0.326,162.937,289560,NA,NA
0.623,0.93,1.64e-6,0.287,120.119,205613,0.07462686567164178,67
0.291,0.79,5.61e-6,0.513,155.667,289907,NA,NA
0.56,0.17,6.75e-6,0.303,94.956,236293,NA,NA
0.432,0.261,0.00342,0.273,89.567,258653,0.10891089108910891,404
0.513,0.199,0,0.228,134.148,226280,0.21153846153846154,52
0.54,0.584,0.00296,0.244,139.261,386493,0.04878048780487805,82
0.432,0.261,0.00342,0.273,89.567,258653,0.10891089108910891,404
0.422,0.264,0,0.331,119.93,269560,0.11688311688311688,308
