danceability,energy,instrumentalness,valence,tempo,duration_ms,sadproportion,wordcount,Baseline,PostInduction,PostListening,rumination,rumsplit,brainstem,Entrainment,Memory,Conditioning,Imagery,Contagion,Expectancy,Appraisal,LikelyUse
0.518,0.401,1.85e-4,0.171,92.148,216533,0.16216216216216217,592,12,19,24,4.75,High,Yes,No,No,No,No,No,Yes,Yes,1
0.621,0.306,6.71e-5,0.0853,111.926,240707,0.02,50,9,11,11,3.25,Low,No,No,No,No,No,No,Yes,Yes,0
0.583,0.532,0,0.223,131.741,288427,0.10837438423645321,203,4,6,9,3.4166666666666665,Low,No,No,No,No,No,No,Yes,Yes,0
0.728,0.563,0,0.352,100.017,217707,NA,NA,7,7,9,4.166666666666667,High,Yes,No,No,No,No,No,Yes,Yes,0
0.624,0.572,0,0.57,90.067,235493,0.38095238095238093,147,9,11,9,3.5833333333333335,Low,Yes,No,No,Yes,Yes,No,Yes,Yes,0
0.315,0.456,9.76e-6,0.424,145.362,188307,0.13043478260869565,46,12,15,16,4.166666666666667,High,No,No,Yes,No,No,No,Yes,No,0
0.583,0.313,0,0.346,96.717,241747,0,45,25,24,28,4.083333333333333,High,Yes,No,No,Yes,No,No,Yes,Yes,0
0.518,0.401,1.85e-4,0.171,92.148,216533,0.16216216216216217,592,12,13,18,4.083333333333333,High,No,No,Yes,No,No,No,Yes,No,0
0.329,0.179,5.04e-6,0.255,154.175,217387,NA,NA,6,11,14,4.083333333333333,High,Yes,Yes,No,Yes,Yes,No,Yes,Yes,1
0.45,0.335,1.25e-6,0.25,109.908,281235,NA,NA,7,10,12,3.5,Low,Yes,No,Yes,No,No,No,Yes,Yes,0
0.555,0.717,0,0.374,112.03,208507,0.1111111111111111,36,5,6,7,4.916666666666667,High,Yes,Yes,No,Yes,No,Yes,Yes,Yes,0
0.53,0.27,1.35e-6,0.599,101.114,225960,NA,NA,7,5,9,3.3333333333333335,Low,Yes,Yes,Yes,No,Yes,No,Yes,Yes,0
0.47,0.431,0,0.289,157.98,295502,0.02040816326530612,882,20,24,15,4,High,Yes,Yes,No,No,No,No,No,Yes,0
0.332,0.179,0,0.315,96.529,125667,NA,NA,5,10,11,4.5,High,Yes,No,Yes,No,Yes,No,Yes,Yes,1
0.599,0.531,2.32e-5,0.53,124.513,228933,NA,NA,4,5,20,4.166666666666667,High,Yes,Yes,No,No,No,No,Yes,Yes,0
0.209,0.418,0.00195,0.123,138.265,295533,0.06521739130434782,414,11,13,14,4.166666666666667,High,Yes,No,Yes,Yes,Yes,No,Yes,Yes,0
0.497,0.661,3.17e-4,0.894,180.225,240213,0.036585365853658534,82,4,4,12,4.833333333333333,High,No,No,No,No,No,No,Yes,Yes,0
0.265,0.127,0.391,0.0757,147.734,371320,0.05555555555555555,1350,7,17,16,3.6666666666666665,Low,Yes,No,No,No,No,No,Yes,Yes,1
0.689,0.481,1.03e-6,0.283,80.025,229526,NA,NA,5,23,26,3.5833333333333335,Low,No,No,Yes,No,No,No,Yes,Yes,1
0.59,0.5,0,0.324,130.675,222773,0.06504065040650407,123,6,9,8,3.75,Low,Yes,No,Yes,No,No,No,Yes,Yes,0
0.746,0.576,0,0.337,110.2,349785,0.13074204946996468,283,11,10,13,3.4166666666666665,Low,No,No,No,No,No,No,Yes,Yes,1
0.763,0.743,3.65e-4,0.939,107.397,295533,0.029585798816568046,169,12,5,13,3.8333333333333335,Low,No,No,No,No,No,No,No,Yes,1
0.496,0.863,0,0.243,110.018,185587,0.13793103448275862,58,8,19,15,3,Low,Yes,Yes,No,No,No,No,Yes,No,1
0.592,0.637,0,0.565,159.701,185093,0.07246376811594203,276,4,5,5,4.166666666666667,High,Yes,No,No,Yes,No,No,Yes,Yes,0
0.516,0.231,0.0489,0.0587,84.07,365493,NA,NA,6,10,10,4.583333333333333,High,Yes,No,Yes,No,No,No,Yes,Yes,1
0.689,0.481,1.03e-6,0.283,80.025,229526,NA,NA,4,13,14,3.6666666666666665,Low,No,No,Yes,No,No,No,Yes,Yes,1
0.512,0.559,0,0.193,85.017,226330,NA,NA,19,18,16,4,High,Yes,Yes,No,No,No,No,No,Yes,0
0.656,0.578,0,0.556,94.514,256733,0.04838709677419355,124,4,9,9,3.75,Low,Yes,No,No,No,NA,No,Yes,Yes,0
0.418,0.249,0.661,0.213,82.803,218547,0,40,11,10,14,4.666666666666667,High,Yes,No,No,No,No,No,Yes,Yes,1
0.689,0.481,1.03e-6,0.283,80.025,229526,NA,NA,8,11,17,4,High,No,No,No,No,Yes,No,No,Yes,1
0.589,0.242,0,0.257,89.749,221107,0.06666666666666667,3240,10,18,12,4.333333333333333,High,Yes,No,No,No,No,No,Yes,Yes,0
0.64,0.533,0,0.515,99.968,220781,NA,NA,12,14,12,3,Low,No,No,Yes,Yes,No,No,No,Yes,0
0.646,0.342,0.00685,0.347,103.979,222120,0.034482758620689655,87,4,10,14,4.25,High,No,Yes,No,No,No,No,Yes,Yes,1
0.543,0.432,0.369,0.107,110.196,295516,NA,NA,4,12,6,3.1666666666666665,Low,Yes,No,No,No,No,No,Yes,Yes,0
0.329,0.278,1.45e-4,0.272,111.316,120093,0.045454545454545456,22,8,13,15,4.75,High,Yes,No,No,No,No,No,Yes,Yes,1
0.38,0.573,2.38e-6,0.0901,74.988,303133,0.21428571428571427,896,4,8,8,2.9166666666666665,Low,Yes,No,Yes,Yes,Yes,No,Yes,Yes,0
0.513,0.768,1.94e-5,0.235,84.264,210580,0.017543859649122806,57,5,14,12,3.9166666666666665,High,Yes,No,No,Yes,No,No,Yes,Yes,0
0.553,0.586,0,0.443,126.684,196373,0.07368421052631578,380,14,18,22,4.416666666666667,High,Yes,No,No,No,Yes,No,Yes,Yes,1
0.82,0.582,0,0.309,112.064,214027,0.1037037037037037,135,4,7,7,2.8333333333333335,Low,Yes,NA,Yes,No,No,No,No,No,1
0.579,0.419,0,0.673,104.564,165000,0.027777777777777776,72,9,11,12,3.9166666666666665,High,No,No,No,Yes,No,No,Yes,Yes,1
